data,cobre,zinco,aluminio,chumbo,estanho,niquel,dolar
2020-01-02,6156.00,2293.00,1800.00,1923.50,16850.00,14000.00,4.02
2020-01-03,6077.00,2284.00,1758.00,1889.50,16750.00,13740.00,4.05
2020-01-06,6097.50,2335.00,1791.00,1900.00,16875.00,13795.00,4.06
2020-01-07,6134.50,2346.00,1794.00,1905.00,16940.00,13860.00,4.08
2020-01-08,6154.00,2406.00,1771.50,1908.50,16975.00,13810.00,4.07
2020-01-09,6156.00,2419.00,1771.00,1902.00,17250.00,14125.00,4.07
2020-01-10,6157.00,2382.00,1771.50,1922.00,17275.00,14050.00,4.07
2020-01-13,6177.00,2366.50,1766.50,1891.50,17275.00,14190.00,4.13
2020-01-14,6247.00,2364.00,1767.50,1897.00,17320.00,13680.00,4.14
2020-01-15,6232.00,2390.00,1778.50,1960.50,17430.00,13950.00,4.16
2020-01-16,6300.50,2438.00,1794.00,2027.00,17705.00,14290.00,4.17
2020-01-17,6276.50,2434.00,1796.00,1977.00,17775.00,13840.00,4.18
2020-01-20,6245.00,2461.00,1807.00,1982.00,17775.00,13845.00,4.18
2020-01-21,6158.50,2455.00,1810.50,1952.00,17675.00,13750.00,4.20
2020-01-22,6103.50,2466.50,1807.50,1974.00,17575.00,13645.00,4.19
2020-01-23,6050.00,2386.00,1781.50,1989.00,17135.00,13300.00,4.17
2020-01-24,5968.00,2354.50,1775.50,1960.00,16900.00,12990.00,4.18
2020-01-27,5779.00,2293.00,1755.50,1901.00,16565.00,12650.00,4.22
2020-01-28,5715.00,2270.00,1744.50,1915.00,16345.00,12740.00,4.21
2020-01-29,5698.00,2256.00,1732.50,1886.00,16325.00,12630.00,4.20
2020-01-30,5621.00,2235.50,1722.50,1836.00,16275.00,12535.00,4.25
2020-01-31,5570.00,2219.00,1709.50,1874.50,16275.00,12675.00,4.27
2020-02-03,5595.00,2200.00,1694.50,1879.00,16350.00,12750.00,4.25
2020-02-04,5652.00,2217.50,1687.00,1854.50,16155.00,12800.00,4.24
2020-02-05,5714.00,2222.50,1688.00,1843.50,16335.00,13005.00,4.24
2020-02-06,5726.00,2206.00,1698.00,1844.00,16575.00,13010.00,4.25
2020-02-07,5653.00,2152.50,1693.50,1835.00,16325.00,12770.00,4.31
